,Name,Genre,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
219,Battlefield V,Shooter,PC,Electronic Arts,EA DICE,0.1,,0.09,,0.01
220,Slime Rancher,Simulation,XOne,Skybound Games,Monomi Park,0.1,0.08,,,0.01
221,Nickelodeon Kart Racers,Racing,XOne,GameMill Entertainment,Solutions 2 Go,0.09,0.08,,,0.01
222,We Happy Few,Action-Adventure,XOne,Gearbox Software,Compulsion Games,0.09,0.07,0.01,,0.01
223,Red Faction: Guerrilla Re-Mars-tered,Shooter,PS4,THQ Nordic,Volition,0.09,0.04,0.04,,0.02
224,Dark Souls Trilogy,Role-Playing,PS4,Bandai Namco Entertainment,From Software,0.09,0.07,,0.01,0.02
225,Borderlands 2 VR,Shooter,PS4,2K Games,Gearbox Software,0.09,0.07,,,0.02
226,Train Sim World,Simulation,PS4,Maximum Games,Dovetail Games,0.09,0.05,0.03,,0.02
227,Life Is Strange: Before the Storm,Adventure,XOne,Square Enix,Deck Nine,0.09,0.07,0.0,,0.01
228,Strange Brigade,Shooter,PS4,Rebellion Developments,Rebellion Developments,0.09,0.05,0.03,,0.02
229,Attack on Titan 2,Action,XOne,Koei Tecmo,Omega Force,0.09,0.08,,,0.01
230,Nickelodeon Kart Racers,Racing,PS4,GameMill Entertainment,Solutions 2 Go,0.09,0.07,,,0.02
231,Mutant Football League: Dynasty Edition,Sports,NS,Nighthawk Interactive,Digital Dreams,0.09,0.08,,,0.01
232,Shining Resonance Refrain,Role-Playing,NS,Sega,Media.Vision,0.09,0.05,0.01,0.01,0.01
233,Monster Energy Supercross - The Official Videogame,Racing,XOne,Milestone S.r.l.,Milestone S.r.l.,0.08,0.08,,,0.01
234,TT Isle of Man: Ride on the Edge,Racing,XOne,Big Ben Interactive,Kylotonn,0.08,0.05,0.03,,0.01
235,Spintires: MudRunner - American Wilds,Racing,PS4,Focus Home Interactive,Saber Interactive,0.08,0.07,,,0.02
236,Shining Resonance Refrain,Role-Playing,PS4,Sega,Media.Vision,0.08,0.03,0.01,0.04,0.01
237,Dynasty Warriors 9,Action,XOne,Tecmo Koei,Omega Force,0.08,0.06,0.01,,0.01
238,Overcooked! 2,Simulation,XOne,Sold Out,Ghost Town Games,0.08,0.07,0.0,,0.01
239,Gravel,Racing,PS4,Milestone S.r.l.,Milestone S.r.l.,0.08,0.06,,,0.01
240,MX vs ATV All Out,Racing,XOne,THQ Nordic,Rainbow Studios,0.08,0.07,,,0.01
